presidente de los Estados Unidos	SPA_NW_001375_20150622_F0010003M:5694-5725	m.060d2	ORG
Estados Unidos	SPA_NW_001461_20150630_F0010004N:706-719	m.09c7w0	GPE
Estados Unidos	SPA_NW_001461_20150630_F0010004N:1613-1626	m.09c7w0	GPE
Estados Unidos	SPA_NW_001461_20150630_F0010004N:1835-1848	m.09c7w0	GPE
Estados Unidos	SPA_NW_001461_20150630_F0010004N:3493-3506	m.09c7w0	GPE
Estados Unidos	SPA_DF_000404_20150430_F001000AX:993-1006	m.09c7w0	GPE
ESTADOS UNIDOS	SPA_DF_000404_20150430_F001000AX:1862-1875	m.09c7w0	GPE
ESTADOS UNIDOS	SPA_DF_000404_20150430_F001000AX:2251-2264	m.09c7w0	GPE
ESTADOS UNIDOS	SPA_DF_000404_20150430_F001000AX:2430-2443	m.09c7w0	GPE
ESTADOS UNIDOS	SPA_DF_000404_20150512_F001000BZ:440-453	m.09c7w0	GPE
ESTADOS UNIDOS	SPA_DF_000404_20150512_F001000BZ:1794-1807	m.09c7w0	GPE
estados unidos	SPA_DF_000404_20150512_F001000BZ:3129-3142	m.09c7w0	GPE
Estados Unidos	SPA_NW_001456_20150623_F0010004C:1096-1109	m.09c7w0	GPE
Estados Unidos	SPA_NW_001456_20150623_F0010004C:2294-2307	m.09c7w0	GPE
Estados Unidos	SPA_NW_001451_20150603_F00100044:438-451	m.09c7w0	GPE
Estados Unidos	SPA_NW_001451_20150603_F00100044:996-1009	m.09c7w0	GPE
Estados Unidos	SPA_NW_001364_20150414_F0010002M:474-487	m.09c7w0	GPE
Estados Unidos	SPA_NW_001364_20150414_F0010002M:1442-1455	m.09c7w0	GPE
Estados Unidos	SPA_NW_001117_20150613_F0010003N:366-379	m.09c7w0	GPE
Estados Unidos	SPA_NW_001117_20150613_F0010003N:2071-2084	m.09c7w0	GPE
Jacques Chirac	SPA_NW_001460_20150624_F0010004M:833-846	m.09xg8	PER
Jacques Chirac	SPA_NW_001460_20150624_F0010004M:2378-2391	m.09xg8	PER
Jacques Chirac	SPA_NW_001451_20150625_F00100045:582-595	m.09xg8	PER
seguridad nacional	SPA_NW_001451_20150603_F00100044:1812-1829	m.0fmtw3	ORG
Partido Demócrata	SPA_NW_001375_20150622_F0010003M:1114-1130	m.0d075m	ORG
Partido Demócrata	SPA_NW_001375_20150622_F0010003M:1843-1859	m.0d075m	ORG
medio oriente	SPA_DF_000386_20150823_F0010007R:133-145	m.04wsz	LOC
John Kerry	SPA_NW_001375_20150622_F0010003M:6331-6340	m.0d3qd0	PER
Arabia Saudí	SPA_NW_001451_20150625_F00100045:3751-3762	m.01z215	GPE
Unión Europea	SPA_NW_001364_20150414_F0010002M:1830-1842	m.0_6t_z8	ORG
Unión Europea	SPA_NW_001364_20150414_F0010002M:2170-2182	m.0_6t_z8	ORG
Unión Europea	SPA_NW_001374_20150309_F0010003D:963-975	m.0_6t_z8	ORG
Unión Europea	SPA_DF_001258_20150629_F001000C7:469-481	m.0_6t_z8	ORG
Unión Europea	SPA_DF_001258_20150629_F001000C7:6187-6199	m.0_6t_z8	ORG
Unión Europea	SPA_DF_001258_20150629_F001000C7:6553-6565	m.0_6t_z8	ORG
Unión Europea	SPA_DF_001258_20150629_F001000C7:7494-7506	m.0_6t_z8	ORG
Unión Europea	SPA_DF_001258_20150629_F001000C7:8728-8740	m.0_6t_z8	ORG
Unión Europea	SPA_DF_001258_20150629_F001000C7:8872-8884	m.0_6t_z8	ORG
Unión Europea	SPA_NW_001444_20150717_F0010003I:550-562	m.0_6t_z8	ORG
Unión Europea	SPA_NW_001444_20150717_F0010003I:3636-3648	m.0_6t_z8	ORG
Unión Europea	SPA_NW_001444_20150717_F0010003I:3696-3708	m.0_6t_z8	ORG
Unión europea	SPA_NW_001451_20150625_F00100045:5532-5544	m.0_6t_z8	ORG
Unión Europea	SPA_DF_001258_20150628_F001000CJ:9876-9888	m.0_6t_z8	ORG
Arabia Saudita	SPA_DF_001258_20150107_F001000BD:1210-1223	m.01z215	GPE
Arabia Saudita	SPA_DF_001258_20150107_F001000BD:3706-3719	m.01z215	GPE
Arabia Saudita	SPA_DF_001258_20150107_F001000BD:4680-4693	m.01z215	GPE
Arabia Saudita	SPA_DF_000386_20150823_F0010007R:2527-2540	m.01z215	GPE
Arabia Saudita	SPA_DF_000386_20150823_F0010007R:11016-11029	m.01z215	GPE
Nicolás Maduro	SPA_DF_001258_20150628_F001000CJ:7867-7880	m.0h7hb4	PER
Chuck Blazer	SPA_DF_001258_20150527_F001000B4:94-105	m.0gj8y7p	PER
Chuck Blazer	SPA_NW_001376_20150602_F00100037:230-241	m.0gj8y7p	PER
Chuck Blazer	SPA_NW_001078_20150602_F00100039:3257-3268	m.0gj8y7p	PER
Chuck Blazer	SPA_NW_001078_20150528_F0010003A:6026-6038	m.0gj8y7p	PER
Unión Africana	SPA_NW_001113_20150629_F00100042:1676-1689	m.0gkjy	ORG
Mitt Romney	SPA_DF_001258_20150704_F001000BI:1134-1144	m.0271_s	PER
Mitt Romney	SPA_NW_001453_20150624_F00100048:3768-3778	m.0271_s	PER
Mitt Romney	SPA_NW_001455_20150622_F0010004H:2974-2984	m.0271_s	PER
Manuel Valls	SPA_NW_001113_20150626_F00100043:3903-3914	m.047drb0	PER
Manuel Valls	SPA_NW_001368_20150108_F0010002T:5302-5313	m.047drb0	PER
EUROPA PRESS	SPA_NW_001363_20150801_F0010002L:372-383	m.0g57m4y	ORG
NBC News	SPA_NW_001458_20150620_F0010004F:1127-1134	m.016bvz	ORG
América Central	SPA_NW_001376_20150602_F00100037:2226-2240	m.01tzh	LOC
EE UU	SPA_NW_001375_20150622_F0010003M:791-795	m.09c7w0	GPE
EE UU	SPA_NW_001375_20150622_F0010003M:6612-6616	m.09c7w0	GPE
EE UU	SPA_NW_001375_20150727_F00100036:4427-4431	m.09c7w0	GPE
Islas Caimán	SPA_NW_001376_20150602_F00100037:676-687	m.01nty	LOC
Islas Caimán	SPA_DF_000386_20150527_F0010007L:2079-2090	m.01nty	LOC
Islas Caimán	SPA_DF_000386_20150527_F0010007L:2504-2515	m.01nty	LOC
Islas Caimán	SPA_NW_001078_20150528_F0010003A:3104-3115	m.01nty	LOC
Hillary Clinton	SPA_NW_001445_20141209_F0010003J:351-365	m.0d06m5	PER
Hillary Clinton	SPA_NW_001445_20141209_F0010003J:499-513	m.0d06m5	PER
Hillary Clinton	SPA_NW_001445_20141209_F0010003J:1708-1722	m.0d06m5	PER
Hillary Clinton	SPA_NW_001445_20141209_F0010003J:2617-2631	m.0d06m5	PER
Hillary Clinton	SPA_NW_001075_20150615_F0010003L:968-982	m.0d06m5	PER
Hillary Clinton	SPA_NW_001075_20150615_F0010003L:1890-1904	m.0d06m5	PER
Hillary Clinton	SPA_NW_001117_20150613_F0010003N:751-765	m.0d06m5	PER
Hillary Clinton	SPA_NW_001375_20150622_F0010003M:257-271	m.0d06m5	PER
Hillary Clinton	SPA_NW_001375_20150622_F0010003M:898-912	m.0d06m5	PER
Hillary Clinton	SPA_NW_001096_20150615_F0010003P:5058-5072	m.0d06m5	PER
oriente medio	SPA_DF_000386_20150708_F0010007Z:3168-3180	m.04wsz	LOC
Larry Hogan	SPA_NW_001362_20150527_F0010002I:1927-1937	m.0_ylz5n	PER
Al Shabab	SPA_NW_001113_20150629_F00100042:1815-1823	m.027ggxz	ORG
West Texas	SPA_NW_001442_20150420_F0010003E:5875-5884	m.02wzq6	LOC
el frente	SPA_NW_001362_20150527_F0010002I:7608-7616	m.0j44g62	ORG
el Frente	SPA_NW_001368_20150108_F0010002T:3190-3198	m.0j44g62	ORG
Ted Cruz	SPA_NW_001075_20150615_F0010003L:1684-1691	m.07j6ty	PER
Ted Cruz	SPA_NW_001123_20150615_F0010003O:1768-1775	m.07j6ty	PER
Ted Cruz	SPA_NW_001453_20150624_F00100048:3599-3606	m.07j6ty	PER
Ted Cruz	SPA_NW_001375_20150622_F0010003M:4003-4010	m.07j6ty	PER
Ronald Reagan	SPA_NW_001375_20150622_F0010003M:2194-2206	m.06c0j	PER
Charlie Hebdo	SPA_NW_001370_20150109_F0010002X:296-308	m.06z90w	ORG
Charlie Hebdo	SPA_NW_001370_20150109_F0010002X:571-583	m.06z90w	ORG
Charlie Hebdo	SPA_NW_001370_20150109_F0010002X:696-708	m.06z90w	ORG
Charlie Hebdo	SPA_NW_001370_20150109_F0010002X:1508-1520	m.06z90w	ORG
Charlie Hebdo	SPA_NW_001366_20150131_F0010002S:277-289	m.06z90w	ORG
Charlie Hebdo	SPA_NW_001366_20150131_F0010002S:613-625	m.06z90w	ORG
Charlie Hebdo	SPA_NW_001366_20150131_F0010002S:870-882	m.06z90w	ORG
Charlie Hebdo	SPA_NW_001366_20150131_F0010002S:1537-1549	m.06z90w	ORG
Charlie Hebdo	SPA_DF_001258_20150109_F001000BM:105-117	m.06z90w	ORG
Charlie Hebdo	SPA_DF_001258_20150109_F001000BM:251-263	m.06z90w	ORG
Charlie Hebdo	SPA_DF_001258_20150109_F001000BM:303-315	m.06z90w	ORG
Charlie Hebdo	SPA_DF_001258_20150109_F001000BM:445-457	m.06z90w	ORG
Charlie Hebdo	SPA_DF_001258_20150109_F001000BM:806-818	m.06z90w	ORG
Charlie Hebdo	SPA_DF_001258_20150109_F001000BM:1341-1353	m.06z90w	ORG
Charlie Hebdo	SPA_DF_001258_20150109_F001000BM:1556-1568	m.06z90w	ORG
Charlie Hebdo	SPA_DF_001258_20150109_F001000BM:1865-1877	m.06z90w	ORG
Charlie Hebdo	SPA_DF_001258_20150109_F001000BM:2084-2096	m.06z90w	ORG
Charlie Hebdo	SPA_DF_001258_20150109_F001000BM:2467-2479	m.06z90w	ORG
Charlie Hebdo	SPA_DF_001258_20150109_F001000BM:4460-4472	m.06z90w	ORG
Charlie Hebdo	SPA_NW_001367_20150529_F0010002R:307-319	m.06z90w	ORG
Charlie Hebdo	SPA_NW_001367_20150529_F0010002R:1023-1035	m.06z90w	ORG
Charlie Hebdo	SPA_NW_001367_20150529_F0010002R:2411-2423	m.06z90w	ORG
Charlie Hebdo	SPA_NW_001367_20150529_F0010002R:2754-2766	m.06z90w	ORG
Charlie Hebdo	SPA_DF_001258_20150112_F001000BE:94-106	m.06z90w	ORG
Charlie Hebdo	SPA_DF_001258_20150112_F001000BE:258-270	m.06z90w	ORG
Charlie Hebdo	SPA_DF_001258_20150112_F001000BE:441-453	m.06z90w	ORG
Charlie Hebdo	SPA_DF_001258_20150112_F001000BE:774-786	m.06z90w	ORG
Charlie Hebdo	SPA_DF_001258_20150112_F001000BE:4704-4716	m.06z90w	ORG
Charlie Hebdo	SPA_DF_000386_20150527_F0010007N:94-106	m.06z90w	ORG
Charlie Hebdo	SPA_DF_000386_20150527_F0010007N:373-385	m.06z90w	ORG
Charlie Hebdo	SPA_DF_000386_20150527_F0010007N:4687-4699	m.06z90w	ORG
Charlie Hebdo	SPA_NW_001368_20150108_F0010002T:418-430	m.06z90w	ORG
Charlie Hebdo	SPA_NW_001368_20150108_F0010002T:693-705	m.06z90w	ORG
Charlie Hebdo	SPA_NW_001368_20150108_F0010002T:3144-3156	m.06z90w	ORG
Charlie Hebdo	SPA_NW_001368_20150108_F0010002T:4923-4935	m.06z90w	ORG
Charlie Hebdo	SPA_NW_001368_20150108_F0010002T:5463-5475	m.06z90w	ORG
Charlie Hebdo	SPA_NW_001368_20150108_F0010002T:7978-7990	m.06z90w	ORG
Charlie Hebdo	SPA_NW_001369_20150110_F0010002W:792-804	m.06z90w	ORG
CHARLIE HEBDO	SPA_DF_000404_20150109_F001000C4:112-124	m.06z90w	ORG
Charlie Hebdo	SPA_DF_000404_20150118_F001000C2:136-148	m.06z90w	ORG
Charlie Hebdo	SPA_DF_000404_20150118_F001000C2:1147-1159	m.06z90w	ORG
Nueva Zelanda	SPA_NW_001451_20150625_F00100045:1507-1519	m.0ctw_b	GPE
Nueva Zelanda	SPA_NW_001451_20150625_F00100045:5128-5140	m.0ctw_b	GPE
la plata	SPA_DF_000386_20150628_F0010007U:3047-3054	m.023b97	GPE
White House	SPA_DF_001258_20150711_F001000CG:2603-2613	m.081sq	FAC
Michel Platini	SPA_NW_001367_20150529_F00100035:1759-1772	m.01fdsm	PER
Michel Platini	SPA_DF_000404_20150530_F001000C5:5848-5861	m.01fdsm	PER
Diego García	SPA_NW_001375_20150727_F00100036:3801-3812	m.02ddv	LOC
comisión electoral	SPA_NW_001364_20150328_F0010002N:2913-2930	m.02q2wn5	ORG
comisión electoral	SPA_NW_001364_20150328_F0010002N:3871-3888	m.02q2wn5	ORG
François Hollande	SPA_NW_001460_20150624_F0010004M:700-716	m.02qg4z	PER
François Hollande	SPA_NW_001460_20150624_F0010004M:867-883	m.02qg4z	PER
François Hollande	SPA_NW_001460_20150624_F0010004M:2009-2025	m.02qg4z	PER
François Hollande	SPA_NW_001113_20150626_F00100043:3260-3276	m.02qg4z	PER
François Hollande	SPA_NW_001451_20150625_F00100045:616-632	m.02qg4z	PER
François Hollande	SPA_NW_001368_20150108_F0010002T:8210-8226	m.02qg4z	PER
Vladímir Putin	SPA_DF_000386_20150528_F0010007Q:218-231	m.08193	PER
Dylan Roof	SPA_NW_001456_20150623_F0010004C:1567-1576	NIL10002	PER
Huffington Post	SPA_NW_001361_20150429_F0010002G:1088-1102	m.0hmrpgb	ORG
mundo islámico	SPA_DF_001251_20150626_F00100082:2537-2550	m.01b5kq	ORG
Jeb Bush	SPA_NW_001445_20141209_F0010003J:331-338	m.019x9z	PER
Jeb Bush	SPA_NW_001445_20141209_F0010003J:478-485	m.019x9z	PER
Jeb Bush	SPA_NW_001445_20141209_F0010003J:878-885	m.019x9z	PER
Jeb Bush	SPA_NW_001445_20141209_F0010003J:1061-1068	m.019x9z	PER
Jeb Bush	SPA_NW_001445_20141209_F0010003J:1699-1706	m.019x9z	PER
Jeb Bush	SPA_NW_001445_20141209_F0010003J:2146-2153	m.019x9z	PER
Jeb Bush	SPA_NW_001123_20150615_F0010003O:376-383	m.019x9z	PER
Jeb Bush	SPA_NW_001123_20150615_F0010003O:512-519	m.019x9z	PER
Jeb Bush	SPA_NW_001123_20150615_F0010003O:1261-1268	m.019x9z	PER
Jeb Bush	SPA_NW_001123_20150615_F0010003O:1815-1822	m.019x9z	PER
Jeb Bush	SPA_NW_001445_20150729_F0010003K:327-334	m.019x9z	PER
Jeb BUsh	SPA_NW_001445_20150729_F0010003K:454-461	m.019x9z	PER
JEB BUSH	SPA_DF_000404_20150617_F001000BX:94-101	m.019x9z	PER
Jeb Bush	SPA_DF_000404_20150617_F001000BX:916-923	m.019x9z	PER
Jeb Bush	SPA_NW_001075_20150615_F0010003L:198-205	m.019x9z	PER
Jeb Bush	SPA_NW_001075_20150615_F0010003L:280-287	m.019x9z	PER
Jeb Bush	SPA_NW_001096_20150615_F0010003P:228-235	m.019x9z	PER
Jeb Bush	SPA_NW_001096_20150615_F0010003P:321-328	m.019x9z	PER
Jeb Bush	SPA_NW_001096_20150615_F0010003P:2088-2095	m.019x9z	PER
Jeb Bush	SPA_NW_001096_20150615_F0010003P:3238-3245	m.019x9z	PER
Jeb Bush	SPA_NW_001096_20150615_F0010003P:5508-5515	m.019x9z	PER
Jeb Bush	SPA_NW_001096_20150615_F0010003P:6385-6392	m.019x9z	PER
Jeb Bush	SPA_NW_001096_20150615_F0010003P:6935-6942	m.019x9z	PER
Jeb Bush	SPA_DF_001258_20150704_F001000BJ:94-101	m.019x9z	PER
Jeb Bush	SPA_DF_001258_20150704_F001000BJ:232-239	m.019x9z	PER
Jeb Bush	SPA_DF_001258_20150704_F001000BJ:1660-1667	m.019x9z	PER
Jeb Bush	SPA_NW_001117_20150613_F0010003N:472-479	m.019x9z	PER
Jeb Bush	SPA_NW_001117_20150613_F0010003N:1982-1989	m.019x9z	PER
Jeb Bush	SPA_DF_000404_20150618_F001000AZ:102-109	m.019x9z	PER
Jeb Bush	SPA_DF_000404_20150618_F001000AZ:450-457	m.019x9z	PER
Jeb Bush	SPA_NW_001375_20150622_F0010003M:275-282	m.019x9z	PER
Jeb Bush	SPA_NW_001375_20150622_F0010003M:916-923	m.019x9z	PER
Jeb Bush	SPA_NW_001375_20150622_F0010003M:2958-2965	m.019x9z	PER
Jeb Bush	SPA_NW_001375_20150622_F0010003M:4076-4083	m.019x9z	PER
premio Nobel	SPA_DF_000386_20150628_F0010007U:4429-4440	m.059x1	ORG
Partido Republicano	SPA_NW_001096_20150615_F0010003P:2958-2976	m.07wbk	ORG
Partido Republicano	SPA_NW_001096_20150615_F0010003P:4355-4373	m.07wbk	ORG
Partido Republicano	SPA_NW_001096_20150615_F0010003P:4881-4899	m.07wbk	ORG
Partido Republicano	SPA_NW_001096_20150615_F0010003P:6319-6337	m.07wbk	ORG
Partido Republicano	SPA_NW_001117_20150613_F0010003N:2196-2214	m.07wbk	ORG
Partido Republicano	SPA_DF_001258_20150707_F001000CF:2621-2639	m.07wbk	ORG
Partido Republicano	SPA_NW_001375_20150622_F0010003M:1144-1162	m.07wbk	ORG
Política Exterior	SPA_NW_001364_20150414_F0010002M:2098-2114	m.03c91_q	ORG
política exterior	SPA_NW_001123_20150615_F0010003O:1020-1036	m.03c91_q	ORG
Joseph Blatter	SPA_NW_001376_20150603_F00100038:393-406	m.0bl_l	PER
Joseph Blatter	SPA_NW_001376_20150603_F00100038:2020-2033	m.0bl_l	PER
Joseph Blatter	SPA_NW_001376_20150603_F00100038:2345-2358	m.0bl_l	PER
Joseph Blatter	SPA_NW_001376_20150603_F00100038:3750-3763	m.0bl_l	PER
Joseph Blatter	SPA_DF_000386_20150528_F0010007Q:370-383	m.0bl_l	PER
Joseph Blatter	SPA_DF_000386_20150528_F0010007Q:5869-5882	m.0bl_l	PER
Joseph Blatter	SPA_NW_001078_20150602_F00100039:612-625	m.0bl_l	PER
Joseph Blatter	SPA_NW_001367_20150529_F00100035:547-560	m.0bl_l	PER
Joseph Blatter	SPA_NW_001078_20150528_F0010003A:970-983	m.0bl_l	PER
Joseph Blatter	SPA_NW_001078_20150528_F0010003A:2800-2813	m.0bl_l	PER
Joseph Blatter	SPA_DF_001258_20150602_F001000BQ:223-236	m.0bl_l	PER
Costa Rica	SPA_DF_000386_20150527_F0010007L:2194-2203	m.01p8s	GPE
Costa Rica	SPA_DF_000386_20150527_F0010007L:2220-2229	m.01p8s	GPE
Costa Rica	SPA_NW_001451_20150625_F00100045:3121-3130	m.01p8s	GPE
Bill Clinton	SPA_NW_001445_20141209_F0010003J:1872-1883	m.0157m	PER
Bill Clinton	SPA_NW_001445_20141209_F0010003J:2427-2438	m.0157m	PER
Bill Clinton	SPA_NW_001375_20150622_F0010003M:1274-1285	m.0157m	PER
Bill Clinton	SPA_NW_001375_20150622_F0010003M:6693-6704	m.0157m	PER
Dilma Rousseff	SPA_NW_001461_20150630_F0010004N:513-526	m.026m5c8	PER
Dilma Rousseff	SPA_NW_001461_20150630_F0010004N:1420-1433	m.026m5c8	PER
Dilma Rousseff	SPA_NW_001461_20140602_F0010004O:2209-2222	m.026m5c8	PER
Juegos Olímpicos	SPA_NW_001461_20150630_F0010004N:1073-1088	m.05nd_	ORG
Juegos Olímpicos	SPA_NW_001461_20150630_F0010004N:3172-3187	m.05nd_	ORG
Cuba	SPA_DF_001258_20150620_F001000B6:667-670	m.0d04z6	GPE
Cuba	SPA_DF_001258_20150620_F001000B6:1799-1802	m.0d04z6	GPE
Cuba	SPA_NW_001123_20150615_F0010003O:1060-1063	m.0d04z6	GPE
Cuba	SPA_NW_001123_20150615_F0010003O:1163-1166	m.0d04z6	GPE
CUBA	SPA_DF_001258_20150727_F001000BA:2185-2188	m.0d04z6	GPE
Cuba	SPA_NW_001096_20150615_F0010003P:7173-7176	m.0d04z6	GPE
Cuba	SPA_NW_001362_20150527_F0010002I:3994-3997	m.0d04z6	GPE
Xinhua	SPA_NW_001371_20150528_F0010002Z:881-886	m.01n13b	ORG
Xinhua	SPA_NW_001371_20150727_F0010002Y:923-928	m.01n13b	ORG
Democrats	SPA_NW_001375_20150622_F0010003M:1797-1805	m.0d075m	ORG
Democrats	SPA_DF_000386_20150710_F0010007V:3480-3488	m.0d075m	ORG
Democrats	SPA_DF_000386_20150710_F0010007V:5097-5105	m.0d075m	ORG
americano	SPA_NW_001445_20150729_F0010003K:1952-1960	m.09c7w0	GPE
americano	SPA_DF_001251_20140901_F001000BT:2003-2011	m.09c7w0	GPE
americano	SPA_DF_001251_20140901_F001000BT:3859-3867	m.09c7w0	GPE
americano	SPA_DF_000386_20150527_F0010007L:1717-1725	m.09c7w0	GPE
americano	SPA_DF_000386_20150527_F0010007L:4129-4137	m.09c7w0	GPE
Níger	SPA_NW_001365_20150324_F0010002O:492-496	m.05cc1	GPE
Níger	SPA_NW_001365_20150324_F0010002O:844-848	m.05cc1	GPE
Níger	SPA_NW_001365_20150324_F0010002O:1029-1033	m.05cc1	GPE
Níger	SPA_NW_001363_20150804_F0010002K:1369-1373	m.05cc1	GPE
Níger	SPA_NW_001366_20150622_F0010002Q:2076-2080	m.05cc1	GPE
nigeriano	SPA_NW_001365_20141018_F0010002P:554-562	m.05cgv	GPE
nigeriano	SPA_NW_001365_20141018_F0010002P:1675-1683	m.05cgv	GPE
nigeriano	SPA_NW_001365_20141018_F0010002P:2557-2565	m.05cgv	GPE
nigeriano	SPA_NW_001363_20150801_F0010002L:960-968	m.05cgv	GPE
nigeriano	SPA_NW_001366_20150622_F0010002Q:1528-1536	m.05cgv	GPE
nigeriano	SPA_DF_000386_20150505_F0010007M:7777-7785	m.05cgv	GPE
nigeriano	SPA_DF_000386_20150505_F0010007M:9220-9228	m.05cgv	GPE
mexicana	SPA_DF_000404_20150618_F001000AZ:134-141	m.0b90_r	GPE
Mexicana	SPA_DF_000404_20150618_F001000AZ:582-589	m.0b90_r	GPE
mexicana	SPA_DF_000404_20150618_F001000AZ:1787-1794	m.0b90_r	GPE
mexicana	SPA_NW_001117_20150613_F0010003N:1285-1292	m.0b90_r	GPE
mexicana	SPA_NW_001117_20150613_F0010003N:1943-1950	m.0b90_r	GPE
mexicana	SPA_DF_000404_20141114_F001000B0:1554-1561	m.0b90_r	GPE
mexicana	SPA_DF_000404_20141114_F001000B0:1895-1902	m.0b90_r	GPE
mexicana	SPA_NW_001445_20150729_F0010003K:1497-1504	m.0b90_r	GPE
mexicana	SPA_DF_001258_20150704_F001000BI:2918-2925	m.0b90_r	GPE
sur	SPA_NW_001456_20150707_F0010004B:1087-1089	m.06n3y	LOC
sur	SPA_NW_001456_20150707_F0010004B:1536-1538	m.06n3y	LOC
sur	SPA_NW_001456_20150707_F0010004B:1750-1752	m.06n3y	LOC
Sur	SPA_NW_001457_20150623_F0010004D:1740-1742	m.06n3y	LOC
sur	SPA_NW_001456_20150623_F0010004C:1208-1210	m.06n3y	LOC
sur	SPA_NW_001453_20150624_F00100048:1702-1704	m.06n3y	LOC
sur	SPA_NW_001453_20150624_F00100048:2365-2367	m.06n3y	LOC
sur	SPA_NW_001453_20150624_F00100048:2682-2684	m.06n3y	LOC
sur	SPA_NW_001453_20150623_F00100047:2618-2620	m.06n3y	LOC
sur	SPA_NW_001454_20150719_F00100049:1136-1138	m.06n3y	LOC
sur	SPA_NW_001450_20150626_F00100041:1329-1331	m.06n3y	LOC
republican	SPA_DF_001258_20150112_F001000BE:4762-4771	m.07wbk	ORG
republican	SPA_DF_001258_20150615_F001000B5:445-454	m.07wbk	ORG
Mexico	SPA_DF_000404_20150618_F001000AZ:632-637	m.0b90_r	GPE
Mexico	SPA_DF_000404_20150618_F001000AZ:1737-1742	m.0b90_r	GPE
mexico	SPA_DF_000404_20140614_F001000BW:746-751	m.0b90_r	GPE
Petrobras	SPA_NW_001461_20140602_F0010004O:2248-2256	m.05v1x6	ORG
Petrobras	SPA_NW_001451_20150625_F00100045:3979-3987	m.05v1x6	ORG
yanquis	SPA_DF_000386_20150717_F0010007T:1471-1477	m.09c7w0	GPE
Kentucky	SPA_NW_001457_20150623_F0010004D:1628-1635	m.0498y	GPE
Kentucky	SPA_NW_001075_20150615_F0010003L:1630-1637	m.0498y	GPE
KKK	SPA_DF_000386_20150721_F0010007Y:94-96	m.048qr	ORG
KKK	SPA_DF_000386_20150721_F0010007Y:3016-3018	m.048qr	ORG
KKK	SPA_DF_000386_20150721_F0010007Y:3165-3167	m.048qr	ORG
KKK	SPA_NW_001454_20150719_F00100049:491-493	m.048qr	ORG
KKK	SPA_NW_001454_20150719_F00100049:908-910	m.048qr	ORG
KKK	SPA_NW_001459_20150620_F0010004J:4414-4416	m.048qr	ORG
KKK	SPA_DF_000386_20150710_F0010007V:3879-3881	m.048qr	ORG
KKK	SPA_DF_000386_20150710_F0010007V:3946-3948	m.048qr	ORG
KKK	SPA_DF_000386_20150710_F0010007V:5496-5498	m.048qr	ORG
KKK	SPA_DF_000386_20150710_F0010007V:5563-5565	m.048qr	ORG
Gombe	SPA_NW_001364_20150328_F0010002N:1393-1397	m.08jlk8	GPE
Gombe	SPA_NW_001364_20150328_F0010002N:1980-1984	m.08jlk8	GPE
Gombe	SPA_NW_001364_20150328_F0010002N:2200-2204	m.08jlk8	GPE
rusos	SPA_DF_001251_20150701_F00100081:3442-3446	m.06bnz	GPE
rusos	SPA_DF_001251_20150701_F00100081:4098-4102	m.06bnz	GPE
rusos	SPA_NW_001449_20150627_F0010003X:2467-2471	m.06bnz	GPE
rusos	SPA_DF_000386_20150528_F0010007Q:1322-1326	m.06bnz	GPE
nazis	SPA_DF_001251_20150701_F00100083:5797-5801	m.05g9h	ORG
farc	SPA_DF_001258_20150429_F001000BO:2889-2892	m.06hvg	ORG
Portugal	SPA_NW_001442_20150625_F0010003F:4457-4464	m.05r4w	GPE
Portugal	SPA_DF_000386_20150628_F0010007U:2607-2614	m.05r4w	GPE
Portugal	SPA_NW_001442_20150420_F0010003E:2828-2835	m.05r4w	GPE
Portugal	SPA_DF_001502_20150711_F001000BV:8838-8845	m.05r4w	GPE
Portugal	SPA_DF_001502_20150711_F001000BV:12349-12356	m.05r4w	GPE
African	SPA_NW_001455_20150622_F0010004H:1022-1028	m.0dg3n1	LOC
African	SPA_NW_001455_20150622_F0010004H:1337-1343	m.0dg3n1	LOC
China	SPA_DF_000386_20150717_F0010007T:124-128	m.0d05w3	GPE
China	SPA_DF_000386_20150717_F0010007T:301-305	m.0d05w3	GPE
china	SPA_DF_000386_20150717_F0010007T:507-511	m.0d05w3	GPE
china	SPA_DF_000386_20150717_F0010007T:2544-2548	m.0d05w3	GPE
China	SPA_DF_000386_20150717_F0010007T:2913-2917	m.0d05w3	GPE
China	SPA_DF_000386_20150717_F0010007T:3061-3065	m.0d05w3	GPE
China	SPA_DF_000386_20150717_F0010007T:3702-3706	m.0d05w3	GPE
China	SPA_DF_000386_20150717_F0010007T:4118-4122	m.0d05w3	GPE
china	SPA_DF_000386_20150717_F0010007T:4191-4195	m.0d05w3	GPE
China	SPA_DF_000386_20150717_F0010007T:4312-4316	m.0d05w3	GPE
china	SPA_DF_000386_20150717_F0010007T:4897-4901	m.0d05w3	GPE
China	SPA_DF_000386_20150717_F0010007T:5021-5025	m.0d05w3	GPE
China	SPA_DF_000386_20150717_F0010007T:5231-5235	m.0d05w3	GPE
China	SPA_DF_000386_20150717_F0010007T:5587-5591	m.0d05w3	GPE
China	SPA_DF_000386_20150717_F0010007T:5620-5624	m.0d05w3	GPE
China	SPA_DF_000386_20150717_F0010007T:5922-5926	m.0d05w3	GPE
China	SPA_DF_000386_20150717_F0010007T:6290-6294	m.0d05w3	GPE
China	SPA_DF_000386_20150717_F0010007T:6455-6459	m.0d05w3	GPE
China	SPA_DF_000386_20150717_F0010007T:6795-6799	m.0d05w3	GPE
