Athens Water Supply and Sewerage Company	ENG_NW_001436_20140731_F0010006P:9150-9189	m.012w3pq1	ORG
NSA	ENG_NW_001439_20150622_F0010006U:4934-4936	m.05htt	ORG
NSA	ENG_DF_001485_20150624_F0010008W:94-96	m.05htt	ORG
NSA	ENG_DF_001485_20150624_F0010008W:201-203	m.05htt	ORG
NSA	ENG_DF_001485_20150624_F0010008W:626-628	m.05htt	ORG
NSA	ENG_DF_001485_20150624_F0010008W:1054-1056	m.05htt	ORG
NSA	ENG_DF_001485_20150624_F0010008W:1537-1539	m.05htt	ORG
NSA	ENG_DF_001485_20150624_F0010008W:1965-1967	m.05htt	ORG
NSA	ENG_DF_001485_20150624_F0010008W:3945-3947	m.05htt	ORG
NSA	ENG_DF_001485_20150624_F0010008W:4330-4332	m.05htt	ORG
NSA	ENG_DF_001485_20150624_F0010008W:4436-4438	m.05htt	ORG
NSA	ENG_DF_001235_20150624_F0010008S:262-264	m.05htt	ORG
NSA	ENG_DF_001235_20150624_F0010008S:494-496	m.05htt	ORG
NSA	ENG_DF_001235_20150624_F0010008S:718-720	m.05htt	ORG
NSA	ENG_DF_001235_20150624_F0010008S:3841-3843	m.05htt	ORG
nsa	ENG_DF_001235_20150624_F0010008S:3966-3968	m.05htt	ORG
NSA	ENG_NW_001436_20150718_F0010006Q:313-315	m.05htt	ORG
NSA	ENG_NW_001436_20150718_F0010006Q:1431-1433	m.05htt	ORG
NSA	ENG_NW_001436_20150718_F0010006Q:1872-1874	m.05htt	ORG
NSA	ENG_DF_001206_20150601_F001000CP:1951-1953	m.05htt	ORG
NSA	ENG_DF_001206_20150601_F001000CP:2122-2124	m.05htt	ORG
NSA	ENG_DF_001206_20150601_F001000CP:3365-3367	m.05htt	ORG
NSA	ENG_DF_001206_20150601_F001000CP:3589-3591	m.05htt	ORG
NSA	ENG_DF_001206_20150601_F001000CP:3779-3781	m.05htt	ORG
NSA	ENG_DF_001206_20150601_F001000CP:3810-3812	m.05htt	ORG
NSA	ENG_DF_001206_20150601_F001000CP:4203-4205	m.05htt	ORG
NSA	ENG_DF_001206_20150601_F001000CP:11791-11793	m.05htt	ORG
NSA	ENG_DF_001222_20150509_F001000DO:3366-3368	m.05htt	ORG
NSA	ENG_DF_001222_20150509_F001000DO:4852-4854	m.05htt	ORG
NSA	ENG_DF_001222_20150509_F001000DO:5098-5100	m.05htt	ORG
NSA	ENG_DF_001222_20150509_F001000DO:12665-12667	m.05htt	ORG
NSA	ENG_DF_001222_20150509_F001000DO:14151-14153	m.05htt	ORG
NSA	ENG_DF_001222_20150509_F001000DO:14397-14399	m.05htt	ORG
NSA	ENG_DF_001222_20150509_F001000DO:17509-17511	m.05htt	ORG
NSA	ENG_DF_001222_20150509_F001000DO:27542-27544	m.05htt	ORG
NSA	ENG_DF_001222_20150509_F001000DO:29040-29042	m.05htt	ORG
NSA	ENG_DF_001222_20150509_F001000DO:29286-29288	m.05htt	ORG
NSA	ENG_DF_001222_20150509_F001000DO:35456-35458	m.05htt	ORG
NSA	ENG_DF_001222_20150509_F001000DO:36942-36944	m.05htt	ORG
NSA	ENG_DF_001222_20150509_F001000DO:37752-37754	m.05htt	ORG
NSA	ENG_DF_001222_20150509_F001000DO:43176-43178	m.05htt	ORG
NSA	ENG_DF_001222_20150509_F001000DO:44662-44664	m.05htt	ORG
NSA	ENG_DF_001222_20150509_F001000DO:47079-47081	m.05htt	ORG
NSA	ENG_DF_001222_20150509_F001000DO:51263-51265	m.05htt	ORG
NSA	ENG_DF_001222_20150509_F001000DO:52749-52751	m.05htt	ORG
NSA	ENG_DF_001222_20150509_F001000DO:55782-55784	m.05htt	ORG
NSA	ENG_DF_001222_20150509_F001000DO:64591-64593	m.05htt	ORG
NSA	ENG_DF_001222_20150509_F001000DO:66089-66091	m.05htt	ORG
NSA	ENG_DF_001222_20150509_F001000DO:66335-66337	m.05htt	ORG
NSA	ENG_NW_001399_20150719_F0010005E:572-574	m.05htt	ORG
NSA	ENG_NW_001399_20150719_F0010005E:5683-5685	m.05htt	ORG
NSA	ENG_NW_001399_20150719_F0010005E:6997-6999	m.05htt	ORG
NSA	ENG_NW_001399_20150719_F0010005E:7419-7421	m.05htt	ORG
NSA	ENG_NW_001399_20150719_F0010005E:8255-8257	m.05htt	ORG
NSA	ENG_NW_001399_20150719_F0010005E:10757-10759	m.05htt	ORG
NSA	ENG_NW_001399_20150719_F0010005E:13676-13678	m.05htt	ORG
NSA	ENG_NW_001399_20150719_F0010005E:14098-14100	m.05htt	ORG
NSA	ENG_NW_001399_20150719_F0010005E:14934-14936	m.05htt	ORG
NSA	ENG_NW_001399_20150719_F0010005E:17446-17448	m.05htt	ORG
NSA	ENG_DF_001499_20130609_F0010008Q:94-96	m.05htt	ORG
NSA	ENG_DF_001499_20130609_F0010008Q:1218-1220	m.05htt	ORG
NSA	ENG_DF_001499_20130609_F0010008Q:1554-1556	m.05htt	ORG
NSA	ENG_DF_001499_20130609_F0010008Q:1582-1584	m.05htt	ORG
NSA	ENG_DF_001499_20130609_F0010008Q:2056-2058	m.05htt	ORG
NSA	ENG_DF_001499_20130609_F0010008Q:2339-2341	m.05htt	ORG
NSA	ENG_DF_001499_20130609_F0010008Q:3072-3074	m.05htt	ORG
NSA	ENG_DF_001499_20130609_F0010008Q:3190-3192	m.05htt	ORG
NSA	ENG_DF_001499_20130609_F0010008Q:4806-4808	m.05htt	ORG
NSA	ENG_DF_001499_20130609_F0010008Q:12655-12657	m.05htt	ORG
NSA	ENG_DF_001499_20130609_F0010008Q:25377-25379	m.05htt	ORG
NSA	ENG_DF_001499_20130609_F0010008Q:40450-40452	m.05htt	ORG
NSA	ENG_DF_001499_20130609_F0010008Q:41678-41680	m.05htt	ORG
NSA	ENG_DF_000354_20150531_F001000DQ:125-127	m.05htt	ORG
NSA	ENG_DF_000354_20150531_F001000DQ:2892-2894	m.05htt	ORG
NSA	ENG_DF_001228_20150614_F001000DP:1124-1126	m.05htt	ORG
NSA	ENG_DF_001222_20150602_F001000DL:17365-17367	m.05htt	ORG
Shabaab	ENG_DF_001237_20150307_F0010008T:3616-3622	m.027ggxz	ORG
WikiLeaks	ENG_NW_001381_20150623_F0010004U:262-270	m.027m_21	ORG
WikiLeaks	ENG_NW_001381_20150623_F0010004U:621-629	m.027m_21	ORG
WikiLeaks	ENG_NW_001381_20150623_F0010004U:1738-1746	m.027m_21	ORG
WikiLeaks	ENG_NW_001381_20150623_F0010004U:2039-2047	m.027m_21	ORG
WikiLeaks	ENG_NW_001381_20150623_F0010004U:2772-2780	m.027m_21	ORG
WikiLeaks	ENG_NW_001381_20150623_F0010004U:2925-2933	m.027m_21	ORG
WikiLeaks	ENG_NW_001436_20150718_F0010006Q:292-300	m.027m_21	ORG
WikiLeaks	ENG_NW_001436_20150718_F0010006Q:899-907	m.027m_21	ORG
WikiLeaks	ENG_NW_001436_20150718_F0010006Q:2616-2624	m.027m_21	ORG
Wikileaks	ENG_DF_001235_20150624_F0010008S:94-102	m.027m_21	ORG
WikiLeaks	ENG_DF_001235_20150624_F0010008S:336-344	m.027m_21	ORG
wikileaks	ENG_DF_001235_20150624_F0010008S:1263-1271	m.027m_21	ORG
wikileaks	ENG_DF_001235_20150624_F0010008S:3948-3956	m.027m_21	ORG
Wikileaks	ENG_DF_001485_20150624_F0010008W:242-250	m.027m_21	ORG
Wikileaks	ENG_DF_001499_20130609_F0010008Q:4266-4274	m.027m_21	ORG
Wikileaks	ENG_DF_001499_20130609_F0010008Q:11394-11402	m.027m_21	ORG
Syria	ENG_DF_001483_20150626_F001000DU:13493-13497	m.06vbd	GPE
Syria	ENG_DF_001483_20150626_F001000DU:13624-13628	m.06vbd	GPE
Syria	ENG_DF_001483_20150626_F001000DU:13659-13663	m.06vbd	GPE
Syria	ENG_DF_001483_20150626_F001000DU:13925-13929	m.06vbd	GPE
Syria	ENG_DF_001483_20150626_F001000DU:13987-13991	m.06vbd	GPE
Syria	ENG_DF_001483_20150626_F001000DU:14628-14632	m.06vbd	GPE
Syria	ENG_DF_001483_20150626_F001000DU:16836-16840	m.06vbd	GPE
Syria	ENG_DF_001489_20150627_F00100086:5374-5378	m.06vbd	GPE
Syria	ENG_DF_001489_20150627_F00100086:6158-6162	m.06vbd	GPE
Syria	ENG_DF_001489_20150627_F00100086:8740-8744	m.06vbd	GPE
Syria	ENG_NW_001396_20150109_F0010005A:2714-2718	m.06vbd	GPE
Syria	ENG_NW_001396_20150109_F0010005A:4074-4078	m.06vbd	GPE
Syria	ENG_DF_001230_20150107_F001000DZ:5753-5757	m.06vbd	GPE
Syria	ENG_DF_001230_20150107_F001000DZ:6083-6087	m.06vbd	GPE
Syria	ENG_DF_000380_20150606_F001000D0:4145-4149	m.06vbd	GPE
Syria	ENG_DF_001237_20150307_F0010008T:2569-2573	m.06vbd	GPE
Syria	ENG_DF_001485_20150702_F001000DS:1456-1460	m.06vbd	GPE
Syria	ENG_NW_001408_20150629_F0010005S:6147-6151	m.06vbd	GPE
Syria	ENG_DF_001486_20150629_F001000DT:6971-6975	m.06vbd	GPE
Ebay	ENG_DF_001501_20150623_F0010008Y:255-258	m.0z90c	ORG
eBay	ENG_NW_001429_20150622_F0010006H:840-843	m.0z90c	ORG
eBay	ENG_DF_001206_20150624_F001000CN:4863-4866	m.0z90c	ORG
eBay	ENG_DF_001206_20150624_F001000CN:7064-7067	m.0z90c	ORG
Cairo	ENG_NW_001411_20150626_F0010005X:5612-5616	m.01w2v	GPE
Detroit	ENG_NW_001030_20150715_F0010005Q:4771-4777	m.02dtg	GPE
Detroit	ENG_NW_001030_20150715_F0010005Q:4938-4944	m.02dtg	GPE
Detroit	ENG_NW_001030_20150715_F0010005Q:5518-5524	m.02dtg	GPE
Detroit	ENG_NW_001030_20150715_F0010005Q:5533-5539	m.02dtg	GPE
Detroit	ENG_DF_000261_20150428_F00100089:3977-3983	m.02dtg	GPE
Detroit	ENG_DF_000261_20150428_F00100089:5251-5257	m.02dtg	GPE
Detroit	ENG_DF_000261_20150428_F00100089:6596-6602	m.02dtg	GPE
Detroit	ENG_DF_000261_20150428_F00100089:7870-7876	m.02dtg	GPE
Detroit	ENG_DF_001206_20150624_F001000CN:21715-21721	m.02dtg	GPE
Sandton	ENG_NW_001411_20150626_F0010005X:5890-5896	m.01t7hg	LOC
BBCWORLD	ENG_DF_001230_20150107_F001000DZ:8796-8803	m.09cw9	ORG
BBCWORLD	ENG_DF_001230_20150107_F001000DZ:9186-9193	m.09cw9	ORG
Fifa	ENG_NW_001426_20150624_F0010006E:321-324	m.02zm3	ORG
Fifa	ENG_NW_001426_20150624_F0010006E:616-619	m.02zm3	ORG
Fifa	ENG_NW_001426_20150624_F0010006E:967-970	m.02zm3	ORG
Fifa	ENG_NW_001426_20150624_F0010006E:1050-1053	m.02zm3	ORG
Fifa	ENG_NW_001426_20150624_F0010006E:1298-1301	m.02zm3	ORG
Fifa	ENG_NW_001426_20150624_F0010006E:1621-1624	m.02zm3	ORG
Fifa	ENG_NW_001426_20150624_F0010006E:1761-1764	m.02zm3	ORG
Fifa	ENG_NW_001426_20150624_F0010006E:1840-1843	m.02zm3	ORG
Fifa	ENG_NW_001426_20150624_F0010006E:1911-1914	m.02zm3	ORG
Fifa	ENG_NW_001426_20150624_F0010006E:2413-2416	m.02zm3	ORG
Fifa	ENG_NW_001426_20150624_F0010006E:2561-2564	m.02zm3	ORG
Fifa	ENG_NW_001426_20150624_F0010006E:2937-2940	m.02zm3	ORG
Fifa	ENG_NW_001426_20150624_F0010006E:3735-3738	m.02zm3	ORG
Fifa	ENG_NW_001426_20150624_F0010006E:4143-4146	m.02zm3	ORG
Fifa	ENG_NW_001426_20150624_F0010006E:4251-4254	m.02zm3	ORG
Fifa	ENG_NW_001426_20150624_F0010006E:4423-4426	m.02zm3	ORG
Fifa	ENG_NW_001426_20150624_F0010006E:4631-4634	m.02zm3	ORG
FIFA	ENG_NW_001440_20150709_F0010006V:272-275	m.02zm3	ORG
FIFA	ENG_NW_001440_20150709_F0010006V:403-406	m.02zm3	ORG
FIFA	ENG_NW_001440_20150709_F0010006V:737-740	m.02zm3	ORG
FIFA	ENG_NW_001440_20150709_F0010006V:837-840	m.02zm3	ORG
FIFA	ENG_NW_001440_20150709_F0010006V:1084-1087	m.02zm3	ORG
FIFA	ENG_NW_001440_20150709_F0010006V:1441-1444	m.02zm3	ORG
FIFA	ENG_NW_001440_20150709_F0010006V:1526-1529	m.02zm3	ORG
FIFA	ENG_NW_001440_20150709_F0010006V:1976-1979	m.02zm3	ORG
FIFA	ENG_NW_001440_20150709_F0010006V:2231-2234	m.02zm3	ORG
FIFA	ENG_NW_001440_20150709_F0010006V:2535-2538	m.02zm3	ORG
FIFA	ENG_NW_001440_20150709_F0010006V:2600-2603	m.02zm3	ORG
FIFA	ENG_NW_001440_20150709_F0010006V:3201-3204	m.02zm3	ORG
FIFA	ENG_NW_001440_20150709_F0010006V:3642-3645	m.02zm3	ORG
FIFA	ENG_NW_001440_20150709_F0010006V:3913-3916	m.02zm3	ORG
FIFA	ENG_NW_001440_20150709_F0010006V:4118-4121	m.02zm3	ORG
FIFA	ENG_NW_001440_20150709_F0010006V:4324-4327	m.02zm3	ORG
FIFA	ENG_NW_001440_20150709_F0010006V:4742-4745	m.02zm3	ORG
FIFA	ENG_NW_001411_20150626_F0010005X:238-241	m.02zm3	ORG
FIFA	ENG_NW_001411_20150626_F0010005X:659-662	m.02zm3	ORG
FIFA	ENG_NW_001411_20150626_F0010005X:1444-1447	m.02zm3	ORG
FIFA	ENG_NW_001411_20150626_F0010005X:1511-1514	m.02zm3	ORG
FIFA	ENG_NW_001411_20150626_F0010005X:2409-2412	m.02zm3	ORG
FIFA	ENG_NW_001411_20150626_F0010005X:2765-2768	m.02zm3	ORG
FIFA	ENG_NW_001411_20150626_F0010005X:3688-3691	m.02zm3	ORG
FIFA	ENG_NW_001411_20150626_F0010005X:3781-3784	m.02zm3	ORG
FIFA	ENG_NW_001411_20150626_F0010005X:3866-3869	m.02zm3	ORG
FIFA	ENG_NW_001411_20150626_F0010005X:3981-3984	m.02zm3	ORG
FIFA	ENG_NW_001411_20150626_F0010005X:4339-4342	m.02zm3	ORG
FIFA	ENG_NW_001411_20150626_F0010005X:4451-4454	m.02zm3	ORG
FIFA	ENG_NW_001411_20150626_F0010005X:4886-4889	m.02zm3	ORG
FIFA	ENG_NW_001411_20150626_F0010005X:4927-4930	m.02zm3	ORG
FIFA	ENG_NW_001428_20150527_F0010006G:274-277	m.02zm3	ORG
FIFA	ENG_NW_001428_20150527_F0010006G:1333-1336	m.02zm3	ORG
FIFA	ENG_NW_001428_20150527_F0010006G:1496-1499	m.02zm3	ORG
FIFA	ENG_NW_001428_20150527_F0010006G:1992-1995	m.02zm3	ORG
FIFA	ENG_NW_001428_20150527_F0010006G:2157-2160	m.02zm3	ORG
FIFA	ENG_NW_001428_20150527_F0010006G:3496-3499	m.02zm3	ORG
FIFA	ENG_NW_001428_20150527_F0010006G:3586-3589	m.02zm3	ORG
FIFA	ENG_NW_001428_20150527_F0010006G:3793-3796	m.02zm3	ORG
FIFA	ENG_NW_001428_20150527_F0010006G:4453-4456	m.02zm3	ORG
FIFA	ENG_NW_001428_20150527_F0010006G:4608-4611	m.02zm3	ORG
FIFA	ENG_NW_001428_20150527_F0010006G:4938-4941	m.02zm3	ORG
FIFA	ENG_NW_001428_20150527_F0010006G:5397-5400	m.02zm3	ORG
FIFA	ENG_NW_001428_20150527_F0010006G:5764-5767	m.02zm3	ORG
FIFA	ENG_NW_001428_20150527_F0010006G:5861-5864	m.02zm3	ORG
FIFA	ENG_NW_001428_20150527_F0010006G:6140-6143	m.02zm3	ORG
FIFA	ENG_NW_001428_20150527_F0010006G:7045-7048	m.02zm3	ORG
FIFA	ENG_NW_001428_20150527_F0010006G:7645-7648	m.02zm3	ORG
FIFA	ENG_NW_001428_20150527_F0010006G:7801-7804	m.02zm3	ORG
FIFA	ENG_NW_001428_20150527_F0010006G:8249-8252	m.02zm3	ORG
FIFA	ENG_NW_001428_20150527_F0010006G:8452-8455	m.02zm3	ORG
FIFA	ENG_NW_001413_20150715_F0010005Z:284-287	m.02zm3	ORG
FIFA	ENG_NW_001413_20150715_F0010005Z:340-343	m.02zm3	ORG
FIFA	ENG_NW_001413_20150715_F0010005Z:658-661	m.02zm3	ORG
FIFA	ENG_NW_001413_20150715_F0010005Z:702-705	m.02zm3	ORG
FIFA	ENG_NW_001413_20150715_F0010005Z:1548-1551	m.02zm3	ORG
FIFA	ENG_NW_001413_20150715_F0010005Z:1587-1590	m.02zm3	ORG
FIFA	ENG_NW_001413_20150715_F0010005Z:2068-2071	m.02zm3	ORG
FIFA	ENG_NW_001413_20150715_F0010005Z:2551-2554	m.02zm3	ORG
FIFA	ENG_NW_001413_20150715_F0010005Z:2923-2926	m.02zm3	ORG
FIFA	ENG_NW_001413_20150715_F0010005Z:3531-3534	m.02zm3	ORG
FIFA	ENG_NW_001413_20150715_F0010005Z:3820-3823	m.02zm3	ORG
FIFA	ENG_NW_001413_20150715_F0010005Z:4196-4199	m.02zm3	ORG
FIFA	ENG_NW_001413_20150715_F0010005Z:4333-4336	m.02zm3	ORG
FIFA	ENG_NW_001413_20150715_F0010005Z:4508-4511	m.02zm3	ORG
FIFA	ENG_NW_001387_20150601_F0010004Z:231-234	m.02zm3	ORG
FIFA	ENG_NW_001387_20150601_F0010004Z:652-655	m.02zm3	ORG
FIFA	ENG_NW_001387_20150601_F0010004Z:1163-1166	m.02zm3	ORG
FIFA	ENG_NW_001387_20150601_F0010004Z:1578-1581	m.02zm3	ORG
FIFA	ENG_NW_001387_20150601_F0010004Z:1877-1880	m.02zm3	ORG
FIFA	ENG_NW_001387_20150601_F0010004Z:2182-2185	m.02zm3	ORG
FIFA	ENG_NW_001387_20150601_F0010004Z:2705-2708	m.02zm3	ORG
FIFA	ENG_NW_001387_20150601_F0010004Z:2780-2783	m.02zm3	ORG
FIFA	ENG_NW_001387_20150601_F0010004Z:3169-3172	m.02zm3	ORG
FIFA	ENG_NW_001387_20150601_F0010004Z:3605-3608	m.02zm3	ORG
FIFA	ENG_NW_001387_20150601_F0010004Z:3797-3800	m.02zm3	ORG
FIFA	ENG_NW_001387_20150601_F0010004Z:3892-3895	m.02zm3	ORG
FIFA	ENG_DF_001473_20150527_F001000D4:94-97	m.02zm3	ORG
FIFA	ENG_DF_001473_20150527_F001000D4:1957-1960	m.02zm3	ORG
FIFA	ENG_DF_001473_20150527_F001000D4:2162-2165	m.02zm3	ORG
FIFA	ENG_DF_001473_20150527_F001000D4:2189-2192	m.02zm3	ORG
FIFA	ENG_DF_001473_20150527_F001000D4:2317-2320	m.02zm3	ORG
FIFA	ENG_DF_001473_20150527_F001000D4:2433-2436	m.02zm3	ORG
FIFA	ENG_DF_001473_20150527_F001000D4:2604-2607	m.02zm3	ORG
FIFA	ENG_DF_001473_20150527_F001000D4:2658-2661	m.02zm3	ORG
FIFA	ENG_DF_001473_20150527_F001000D4:3263-3266	m.02zm3	ORG
FIFA	ENG_DF_001473_20150527_F001000D4:3713-3716	m.02zm3	ORG
FIFA	ENG_DF_001473_20150527_F001000D4:3845-3848	m.02zm3	ORG
FIFA	ENG_DF_001473_20150527_F001000D4:4260-4263	m.02zm3	ORG
FIFA	ENG_DF_001473_20150527_F001000D4:4431-4434	m.02zm3	ORG
FIFA	ENG_DF_001473_20150527_F001000D4:5440-5443	m.02zm3	ORG
FIFA	ENG_DF_001473_20150527_F001000D4:6275-6278	m.02zm3	ORG
FIFA	ENG_DF_001473_20150527_F001000D4:6769-6772	m.02zm3	ORG
FIFA	ENG_DF_001473_20150527_F001000D4:7187-7190	m.02zm3	ORG
FIFA	ENG_DF_001473_20150527_F001000D4:7283-7286	m.02zm3	ORG
FIFA	ENG_DF_001473_20150527_F001000D4:8522-8525	m.02zm3	ORG
FIFA	ENG_DF_001473_20150527_F001000D4:10759-10762	m.02zm3	ORG
FIFA	ENG_DF_001473_20150527_F001000D4:11592-11595	m.02zm3	ORG
FIFA	ENG_DF_001473_20150527_F001000D4:12483-12486	m.02zm3	ORG
FIFA	ENG_NW_001001_20150719_F00100059:420-423	m.02zm3	ORG
FIFA	ENG_NW_001001_20150719_F00100059:536-539	m.02zm3	ORG
FIFA	ENG_NW_001001_20150719_F00100059:691-694	m.02zm3	ORG
FIFA	ENG_NW_001001_20150719_F00100059:1093-1096	m.02zm3	ORG
FIFA	ENG_NW_001001_20150719_F00100059:1385-1388	m.02zm3	ORG
FIFA	ENG_NW_001001_20150719_F00100059:2033-2036	m.02zm3	ORG
FIFA	ENG_NW_001001_20150719_F00100059:2180-2183	m.02zm3	ORG
FIFA	ENG_NW_001001_20150719_F00100059:3566-3569	m.02zm3	ORG
FIFA	ENG_NW_001001_20150719_F00100059:4010-4013	m.02zm3	ORG
FIFA	ENG_NW_001416_20150716_F00100062:370-373	m.02zm3	ORG
FIFA	ENG_NW_001416_20150716_F00100062:675-678	m.02zm3	ORG
FIFA	ENG_NW_001416_20150716_F00100062:1013-1016	m.02zm3	ORG
FIFA	ENG_NW_001416_20150716_F00100062:2246-2249	m.02zm3	ORG
FIFA	ENG_NW_001416_20150716_F00100062:2816-2819	m.02zm3	ORG
FIFA	ENG_NW_001416_20150716_F00100062:3395-3398	m.02zm3	ORG
FIFA	ENG_NW_001416_20150716_F00100062:3720-3723	m.02zm3	ORG
FIFA	ENG_NW_001416_20150716_F00100062:5302-5305	m.02zm3	ORG
FIFA	ENG_DF_001474_20150527_F001000D7:94-97	m.02zm3	ORG
Fifa	ENG_DF_001474_20150527_F001000D7:1215-1218	m.02zm3	ORG
FIFA	ENG_DF_001474_20150527_F001000D7:1915-1918	m.02zm3	ORG
Fifa	ENG_DF_001474_20150527_F001000D7:2542-2545	m.02zm3	ORG
FIFA	ENG_DF_001474_20150527_F001000D7:4689-4692	m.02zm3	ORG
FIFA	ENG_DF_001474_20150527_F001000D7:4971-4974	m.02zm3	ORG
Fifa	ENG_DF_001474_20150527_F001000D7:5297-5300	m.02zm3	ORG
Fifa	ENG_DF_001474_20150527_F001000D7:5391-5394	m.02zm3	ORG
FIFA	ENG_DF_001474_20150527_F001000D7:6415-6418	m.02zm3	ORG
Fifa	ENG_DF_001474_20150527_F001000D7:7001-7004	m.02zm3	ORG
FIFA	ENG_DF_001474_20150527_F001000D7:7203-7206	m.02zm3	ORG
FIFA	ENG_DF_001474_20150527_F001000D7:7436-7439	m.02zm3	ORG
FIFA	ENG_DF_001474_20150527_F001000D7:7593-7596	m.02zm3	ORG
FIFA	ENG_DF_001474_20150527_F001000D7:7826-7829	m.02zm3	ORG
FIFA	ENG_DF_000249_20150527_F001000D5:94-97	m.02zm3	ORG
FIFA	ENG_DF_000249_20150527_F001000D5:797-800	m.02zm3	ORG
FIFA	ENG_DF_000249_20150527_F001000D5:1281-1284	m.02zm3	ORG
FIFA	ENG_DF_000249_20150527_F001000D5:2828-2831	m.02zm3	ORG
FIFA	ENG_DF_000249_20150527_F001000D5:4657-4660	m.02zm3	ORG
FIFA	ENG_DF_000379_20150604_F001000D1:126-129	m.02zm3	ORG
FIFA	ENG_DF_000379_20150604_F001000D1:254-257	m.02zm3	ORG
FIFA	ENG_DF_000379_20150604_F001000D1:728-731	m.02zm3	ORG
FIFA	ENG_DF_000379_20150604_F001000D1:3135-3138	m.02zm3	ORG
FIFA	ENG_DF_000379_20150604_F001000D1:3286-3289	m.02zm3	ORG
FIFA	ENG_DF_000379_20150604_F001000D1:3528-3531	m.02zm3	ORG
FIFA	ENG_DF_000379_20150604_F001000D1:4809-4812	m.02zm3	ORG
FIFA	ENG_DF_000379_20150604_F001000D1:4960-4963	m.02zm3	ORG
FIFA	ENG_DF_000379_20150604_F001000D1:5202-5205	m.02zm3	ORG
FIFA	ENG_DF_000379_20150604_F001000D1:6444-6447	m.02zm3	ORG
FIFA	ENG_DF_000379_20150604_F001000D1:6822-6825	m.02zm3	ORG
FIFA	ENG_DF_000379_20150604_F001000D1:7503-7506	m.02zm3	ORG
FIFA	ENG_DF_000379_20150604_F001000D1:7881-7884	m.02zm3	ORG
FIFA	ENG_DF_000379_20150604_F001000D1:9545-9548	m.02zm3	ORG
FIFA	ENG_DF_000379_20150604_F001000D1:9696-9699	m.02zm3	ORG
FIFA	ENG_DF_000379_20150604_F001000D1:9938-9941	m.02zm3	ORG
FIFA	ENG_DF_000379_20150604_F001000D1:11732-11735	m.02zm3	ORG
FIFA	ENG_DF_000379_20150604_F001000D1:11883-11886	m.02zm3	ORG
FIFA	ENG_DF_000379_20150604_F001000D1:12125-12128	m.02zm3	ORG
FIFA	ENG_DF_000379_20150604_F001000D1:16562-16565	m.02zm3	ORG
FIFA	ENG_DF_000379_20150604_F001000D1:16664-16667	m.02zm3	ORG
FIFA	ENG_DF_000379_20150604_F001000D1:17479-17482	m.02zm3	ORG
FIFA	ENG_DF_000379_20150604_F001000D1:17950-17953	m.02zm3	ORG
FIFA	ENG_DF_000379_20150604_F001000D1:19617-19620	m.02zm3	ORG
FIFA	ENG_DF_000379_20150604_F001000D1:19812-19815	m.02zm3	ORG
FIFA	ENG_DF_000379_20150604_F001000D1:20210-20213	m.02zm3	ORG
FIFA	ENG_DF_001467_20150527_F001000CQ:99-102	m.02zm3	ORG
FIFA	ENG_DF_001467_20150527_F001000CQ:860-863	m.02zm3	ORG
FIFA	ENG_DF_001467_20150527_F001000CQ:1197-1200	m.02zm3	ORG
fifa	ENG_DF_001467_20150527_F001000CQ:1466-1469	m.02zm3	ORG
FIFA	ENG_DF_001467_20150527_F001000CQ:5971-5974	m.02zm3	ORG
FIFA	ENG_DF_001467_20150527_F001000CQ:6119-6122	m.02zm3	ORG
FIFA	ENG_DF_001467_20150527_F001000CQ:6639-6642	m.02zm3	ORG
FIFA	ENG_DF_001467_20150527_F001000CQ:6916-6919	m.02zm3	ORG
FIFA	ENG_DF_001467_20150527_F001000CQ:7075-7078	m.02zm3	ORG
FIFA	ENG_DF_001467_20150527_F001000CQ:9600-9603	m.02zm3	ORG
FIFA	ENG_DF_001467_20150527_F001000CQ:12540-12543	m.02zm3	ORG
FIFA	ENG_DF_001467_20150527_F001000CQ:12565-12568	m.02zm3	ORG
FIFA	ENG_DF_001467_20150527_F001000CQ:13155-13158	m.02zm3	ORG
FIFA	ENG_DF_001467_20150527_F001000CQ:13180-13183	m.02zm3	ORG
FIFA	ENG_DF_001467_20150527_F001000CQ:13377-13380	m.02zm3	ORG
FIFA	ENG_DF_001467_20150527_F001000CQ:13846-13849	m.02zm3	ORG
FIFA	ENG_DF_001467_20150527_F001000CQ:13953-13956	m.02zm3	ORG
FIFA	ENG_DF_000317_20150528_F001000D6:149-152	m.02zm3	ORG
FIFA	ENG_DF_000317_20150528_F001000D6:431-434	m.02zm3	ORG
FIFA	ENG_DF_000317_20150528_F001000D6:629-632	m.02zm3	ORG
FIFA	ENG_DF_000317_20150528_F001000D6:3847-3850	m.02zm3	ORG
FIFA	ENG_DF_000317_20150528_F001000D6:4003-4006	m.02zm3	ORG
FIFA	ENG_DF_000317_20150528_F001000D6:5944-5947	m.02zm3	ORG
FIFA	ENG_DF_000317_20150528_F001000D6:6031-6034	m.02zm3	ORG
FIFA	ENG_DF_000317_20150528_F001000D6:8829-8832	m.02zm3	ORG
FIFA	ENG_DF_000317_20150528_F001000D6:8985-8988	m.02zm3	ORG
FIFA	ENG_DF_000317_20150528_F001000D6:9592-9595	m.02zm3	ORG
FIFA	ENG_DF_000317_20150528_F001000D6:10262-10265	m.02zm3	ORG
FIFA	ENG_DF_000317_20150528_F001000D6:11633-11636	m.02zm3	ORG
FIFA	ENG_DF_000317_20150528_F001000D6:12477-12480	m.02zm3	ORG
